	UBL	URB	UFR	ULF	LUB	LFU	LDF	LBD	FUL	FRU	FDR	FLD	RUF	RBU	RDB	RFD	BUR	BLU	BDL	BRD	DFL	DRF	DBR	DLB
UBL																								
URB	[R' B' R: [R D R', U']]																							
UFR																								
ULF	[R' DU: [R D R', U]]	[l D: [R' D' R, U]]																						
LUB	twist	[R: [U, R D R']]		[U' R: [R D R', U2]]																				
LFU	[x' D: [F2, D' R D R']]	[R': [R' D' R, U']]		twist	[L, U' R' U]																			
LDF	[R' D R, U2]	[R' D R, U]		[R' D R, U']	[U R': [U', R' D R]]	[L': [L U' L' U, F']]																		
LBD	[U': [R D' R', U2]]	[U', R D' R']		[U': [R D' R', U']]	[R D': [R D R', U]]	[U' R' U, L2]	[D R': [F', R D' R' D]]																	
FUL	[l' UD': [R D R', U2]]	[R2' U': [D', R U R']]		twist	[l' U: [R D' R', U2]]	twist	[D R': [F2, R D' R' D]]	[L' U': [L D L', U2]]																
FRU																								
FDR	[DU': [R D R', U2]]	[D': [R' D R, U]]		[D': [R' D R, U']]	[D' L2 D, R']	[R: [F, R' U R U']]	[U: [D, R U' R']]	[l' U: [D, R U' R']]	[R': [R D' R' D, F2]]															
FLD	[D'U': [R D' R', U2]]	[D: [R' D' R, U]] 		[D: [R' D' R, U']]	[U R' D: [R' D' R, U']]	[D': [U' R' U, L2']]	twist	[D, L' U L]	[R U: [R' D R, U2]]		[R': [F', R D' R' D]]													
RUF																								
RBU	[R' UD R: [R U' R', D']]	twist		[U' R': [U2, R' D' R]]	[R: [R2' D R2 D' R2', U]]	[R U R2 U' R', F]	[U R U: [R' D R, U2]]	[U'D' R: [B2, R' D R D']]	[R': [R2 D' R2' D R2, U']]		[U' R' U: [R D R', U2]]	[U L: [F2, L' D L D']]												
RDB	[U': [R D R', U2]]	[U', R D R']		[U': [R D R', U']]	[U' R: [R U' R', D’]]	[D' R: [F, R' U R U']]	[UD: [R U' R', D2']]	[R D': [R' U' R, D2]]	[R D'U: [R' D R, U2]]		[U: [R U' R', D']]	[R D: [D, R' U' R]]		[U R U': [R' D' R, U2]]										
RFD	[R' D' R, U2]	[R' D' R, U]		[R' D' R, U']	[U R' U’: [U’, R D R']]	[R' U': [D', R U R']]	[U R' D: [R U' R', D2]]	[D2, R U R']	[l': [R' D' R, U2]]		twist	[D, R U R']		[U L D': [F2, D L' D' L]]	[R D': [R' D R, U]]									
BUR	[R' UD: [R D R', U2]]	twist		[U' R: [R D R', U]]	[U R': [U', R' D' R]]	[R', U L U']	 [R' U: [R U' R', D]]	[U' L U, R]	[R2: [F2, R D' R' D]]		[D' R' U: [R U' R', D]]	[L' U: [F', U' L U L']]		twist	[U: [R2', U L U']]	[R' U: [R U' R', D’]]								
BLU	twist	[R2 U: [R' U' R, D]]		[U' R': [U', R' D' R]]	twist	[R B' R', F]	[R' D: [R' U R, D]]	[D r': [D R D', L2]]	R f' r2' F D' F' D r2 U' f		[R U: [R' U R U', F]]	[r': [D R D', L2]]		[U R: [U2, R D R']]	[R' U: [U, R' D' R]]	[R B' R', F']	[R, U' L' U]							
BDL	[D'U': [R D R', U2]]	[D: [R' D R, U]]		[D: [R' D R, U']]	[UD R': [U', R' D R]]	[D L': [F', L U' L' U]]	[U: [L' U' L, D]]	twist	[U': [U R' F R, D' R D R']]		[U'D: [R' U' R, D2]]	[D' R D': [R' U' R, D2]]		[U' R' U’: [R D' R', U2]]	[U': [R' U' R, D']]	[R B2 R', F']	[D: [R, U' L2' U]]	[F': [U, L' D' L]]						
BRD	[U'D: [R D' R', U2]]	[D: [U', R D' R']]		[D': [R' D' R, U']]	[R U: [R' D' R, U]]	[D: [U' R' U, L2']]	[R' D R: [D', R U R']]	[D2: [R U R', D]]	[R U: [R' D' R, U2]]		[D R D: [R' U' R, D2]]	[D: [R U R', D2]]		[U' R: [R' D R D', B2]]	twist	[R U R', D']	[R' D': [R' D R, U]]	[D' R': [R' U R, D]]	[U2: [L, U R' U']]					
DFL	[L2, D' L2' U L2 D]	[U': [L2, D R2' D']]		[D': [L2, D R2' D']]	[R D': [R D' R', U]]	[U' R' U: [R U' R', D]] 	twist	[D L' U: [F2, U' L U L']]	[L :[L' D L D' , F2]]		[R: [R' U R U', F2]]	twist		[UD R': [F2, R D' R' D]]	[U' R': [R' D R, U]]	[R D: [U, R' D' R]]	[D': [U L2 U', R']]	[U' R': [R' D R, U']]	[l U'D': [R D R', U2]]	[R U: [R U R', D]]				
DRF	[R2: [U, R2 D R2' D' R2]]	[U': [D' L2 D, R2']]		[D: [D L2 D', R2']]	[U': [D' L D, R2']]	[R' F2: [R U' R', D']]	[U': [D' L' D, R2]]	[D: [R2, U L' U']]	[D' L: [F2, L' D L D']]		twist	[L' U: [F2, U' L U L']]		[U R': [F2, R D' R' D]]	[D' R: [R' U R U', F2]]	twist	[U R' U': [R U R’, D']]	[U'D' R': [R' D R, U']]	[U'D' R’: [R'D R, U]]	[D' R D: [U, R' D' R]]	[D, R2' U R2 U' R2']			
DBR	[D' R2' U R2 D, R2'] 	[U: [R2', D L2 D']]		[R D' R': [R' D R, U']]	[D R: [R D' R’, U]]	[R2', U L U']	[l: [D L D', R2']]	[D L D', R2']	[D R: [R D' R', U2]]		[U R D': [U', R' D R]] 	[R2, U L' U']		[D: [U R' F R, D' R D R']]	twist	[D' L' U: [F2, U' L U L']]	[D: [U L2 U', R']]	[U R: [D', R U' R']]	[U R: [R U' R', D2]]	twist	[U' R2': [R2 U R2' U' R2, D]]	[D: [U L2' U', R2]]		
DLB	[L2: [L2' D L2 D' L2', U]]	[U: [D' R2' D, L2]]		[L2, D' R2' D]	[R: [R D' R', U]]	[D': [R2', U L U']]	[D R: [R' U R U', F2]]	twist	[R: [R D' R', U2]]		[U L2' U', R]	[L, D' R2' D]		[U R' F R, D' R D R']	[U: [D' R' D, L2]]	[R: [R D' R', U']]	[U L2 U', R']	[R2 U: [D', R' U' R]]	twist	[R U'D: [R' U R, D2]]	[R U' D2: [R' U R, D]]	[R2': [D', R2 U' R2' U R2]]	[U L2' U', R2]	
																								
	Twist Algs																							
	cw	ccw																						
UBL / LUB / BLU	[U' L' U: [R, U' L U L' U' L U]]	[R U': [U R' U' R U R' U', L']]																						
URB / RBU / BUR	[U, R' D R D' R' D R]	[R' D R D' R' D R, U]																						
ULF / LFU / FUL	[U', R' D R D' R' D R]	[R' D R D' R' D R, U']																						
LDF / FLD / DFL	[R U R': [R U' R' U R U' R', D]]	[R U R': [D, R U' R' U R U' R']]																						
LBD / BDL / DLB	[U' R: [D', R' U R U' R' U R]]	[U' R: [R' U R U' R' U R, D']]																						
FDR / RFD / DRF	[R': [R U' R' U R U' R', D']]	[R': [D', R U' R' U R U' R']]																						
RDB / BRD / DBR	[R U R': [R U' R' U R U' R', D']]	[R U R': [D', R U' R' U R U' R']]																						